Цена,Марка,Модель,Год выпуска,Поколение,Пробег,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,Обмен,Ссылка
4987000,BMW,5 серия,2021,G30/G31 рестайлинг (2020—2023), 42000 км,2,Не битый,520d 2.0 Steptronic (190 л.с.),2.0,Дизель,Автомат,Задний,Executive,Седан,Чёрный,Левый,Возможен,"https://www.avito.ru/ufa/avtomobili/bmw_5_seriya_2.0_at_2021_42_000_km_3481028261
"
2219000,BMW,3 серия,2015,F30/F31 (2011—2015), 153035 км,3,Не битый,320i 2.0 xDrive AT (184 л.с.),2.0,Бензин,Автомат,Полный,Sport,Седан,Серый,Левый,Возможен,"https://www.avito.ru/izhevsk/avtomobili/bmw_3_seriya_2.0_at_2015_153_035_km_3502847619
"
935000,BMW,5 серия,2004,E60/E61 (2002—2007), 320000 км,4+,Не битый,525i 2.5 MT (218 л.с.),2.5,Бензин,Механика,Задний,Базовая,Седан,Чёрный,Левый,интересует,"https://www.avito.ru/tolyatti/avtomobili/bmw_5_seriya_2.5_mt_2004_320_000_km_3260606397
"
4450000,BMW,X3,2019,G01 (2017—2021), 43500 км,1,Не битый,20d 2.0 xDrive Steptronic (190 л.с.),2.0,Дизель,Автомат,Полный,xLine,Внедорожник 5-дверный,Синий,Левый,интересует,"https://www.avito.ru/samara/avtomobili/bmw_x3_2.0_at_2019_43_500_km_3230683728
"
2490000,BMW,5 серия,2016,F10/F11 рестайлинг (2013—2017), 104000 км,4+,Не битый,528i 2.0 xDrive AT (245 л.с.),2.0,Бензин,Автомат,Полный,Базовая,Седан,Чёрный,Левый,,"https://www.avito.ru/tolyatti/avtomobili/bmw_5_seriya_2.0_at_2016_104_000_km_3349282080
"
5099000,BMW,X3,2019,G01 (2017—2021), 37400 км,1,Не битый,20d 2.0 xDrive Steptronic (190 л.с.),2.0,Дизель,Автомат,Полный,M Sport,Внедорожник 5-дверный,Серый,Левый,интересует,"https://www.avito.ru/samara/avtomobili/bmw_x3_2.0_at_2019_37_400_km_3657789663
"
13990000,BMW,X5,2023,G05 рестайлинг (2023—2023), 10 км,1,Не битый,30d 3.0 xDrive Steptronic (298 л.с.),3.0,Дизель,Автомат,Полный,M Sport,Внедорожник 5-дверный,Серый,Левый,,"https://www.avito.ru/samara/avtomobili/bmw_x5_3.0_at_2023_10_km_3390550558
"
6499000,BMW,X6,2018,F16 (2014—2020), 67947 км,2,Не битый,40d 3.0 Steptronic (313 л.с.),3.0,Дизель,Автомат,Полный,M Sport,Внедорожник 5-дверный,Синий,Левый,,"https://www.avito.ru/ufa/avtomobili/bmw_x6_3.0_at_2018_67_947_km_3518277167
"
930000,BMW,3 серия,2005,E90/E91/E92/E93 (2005—2010), 440000 км,4+,Не битый,320d 2.0 AT (163 л.с.),2.0,Дизель,Автомат,Задний,Базовая,Седан,Серый,Левый,интересует,"https://www.avito.ru/tolyatti/avtomobili/bmw_3_seriya_2.0_at_2005_440_000_km_3550239476
"
7200000,BMW,5 серия,2021,G30/G31 рестайлинг (2020—2023), 36509 км,3,Не битый,530d 3.0 xDrive Steptronic (249 л.с.),3.0,Дизель,Автомат,Полный,M Sport Plus,Седан,Синий,Левый,,"https://www.avito.ru/samara/avtomobili/bmw_5_seriya_3.0_at_2021_36_509_km_3580803189
"
